name,version
pkg_impl,2.0.0
pkg_manager,0.1.1
pkgar,0.1.15
pkgar-core,0.1.15
pkgar-keys,0.1.15
pkgar-repo,0.1.15
pkgbob,0.0.6
pkgbuild,0.0.0
plot_interface,0.1.3
plotapi,0.1.1
plotcap,0.1.3
plotchart,0.2.12
ploteria,0.1.0
plotfx,0.1.0
plotka,0.0.0
plotlars,0.8.1
plotlib,0.5.1
plotly,0.12.1
plotly-fork,0.8.4
plotly_derive,0.12.1
plotly_kaleido,0.12.1
plotly_orca,0.0.0
plotpoint,0.1.8
plotpy,1.13.0
plotrs,0.1.3
plotsweep,0.1.0
oldwin-vc-ltl5,0.1.1
oldwin-yy-thunks,0.1.1
ole,0.1.15
ole32-sys,0.2.0
oleaut32-sys,0.2.0
oled,0.0.0
oled_shmoled,0.2.1
olekit,1.0.2
olha,0.0.0
oli,0.41.17
oli-tui,0.1.0
olibs724-service,0.0.0
oliframe,0.3.0
olimex-stm32-p107,0.1.0
olin,0.3.0
olinker,0.1.0
olio,1.4.0
olis_string,0.1.3
olivarius-art,0.0.0
self-rust-tokenize,0.4.0
self-rust-tokenize-derive,0.4.1
self-signed-cert,1.0.3
self_cell,1.1.0
self_encryption,0.31.0
self_sdk,0.1.0
self_service,0.0.0
self_update,0.42.0
self_update_danger_no_ssl_verify,0.38.0
selfe-arc,0.1.1
selfe-config,0.2.1
selfe-runtime,0.1.1
selfe-start,0.1.0
selfe-sys,0.1.1
selfie,0.0.3
selfish,0.1.0
selfref,0.4.3
selfserv-daemon,0.2.0
selfsimilar,0.1.0
selfstack,0.3.0
ucd-data,0.1.0
ucd-generate,0.3.1
ucd-parse,0.1.13
ucd-raw,0.5.0
ucd-trie,0.1.7
ucd-util,0.2.2
ucelofka,0.3.0
ucf,0.1.5
ucfirst,0.3.0
ucg,0.7.2
uchan,0.1.4
uchardet,2.0.4
uchardet-sys,2.0.3
uchimizu,0.0.1
uchr,0.0.2
uchrono,0.1.1
uchu,0.1.0
uci,0.2.3
uci-parser,1.1.0
uci_rs,0.1.2
eodhd_rs,0.2.0
eodhistoricaldata_api,0.4.0
eoe,0.2.0
eoflint,0.2.0
eol,0.1.1
eolib,2.1.1
eom,0.11.0
eon,0.0.0
eon-rs,1.0.0
eonil_apple_oslog,0.1.2
eons,0.1.0
eopl,0.0.0
eopsin,0.0.0
eorst,0.2.0
eos,0.0.0
eos-eapi,0.2.0
eos-s3,0.1.0
eos-tz,0.0.0
eos-tzdata,0.0.0
veruna-data,0.0.0
veruna-kernel,0.0.0
verus,0.0.0
verusfmt,0.5.3
verust,0.2.4
verver,0.0.1
vervolg,0.1.0
very-bad-error-propagation,0.1.1
very-trash-cli,0.1.0
very_basic_crate,0.2.0
very_primitive_tables,0.1.3
very_simple_2d,1.0.0
very_simple_2d_core,0.6.0
very_simple_trie,0.1.3
veryfast,0.3.1
veryfi,1.0.0
migrations_internals,2.2.0
migrations_macros,2.2.0
migrator,0.1.0
migratour,0.1.1
migres,0.0.1
mih-rs,0.3.1
miho,7.0.0
miho_derive,5.2.0
mii,0.1.1
miio-proto,0.1.5
mijia,0.7.1
mijia-homie,0.2.7
mijit,0.2.4
mik32-rt,0.1.0
mik32-rt-macros,0.5.0
mik32v2-pac,0.0.1
mika,0.0.0
mikado,0.1.0
mikan-rs,0.1.4
mikasa-utils,0.1.0
iap-jwt,0.2.0
iapi,0.1.0
iapiab,0.1.0
iapp_doc_test,0.0.0
iaq-core,0.1.0
iarapi-rs,0.1.1
iargs,0.1.0
iars,0.1.0
ias,0.2.1
iasc,0.1.0
iascar,0.2.1
iastconvert,0.1.2
iasthk,1.0.1
iat,0.1.2
iata-types,0.1.4
iata_bcbp,1.0.0
iay,0.4.3
ib,3.0.0
bevy_koto,0.2.0
bevy_kwai_interactive_live,0.1.2
bevy_la_mesa,0.15.4
bevy_landmass,0.8.0
bevy_lazy_prefabs,0.2.1
bevy_ldtk,0.5.0
bevy_ldtk_asset,0.6.4
bevy_leat,0.0.0
bevy_level,0.0.1
bevy_libgdx_atlas,0.3.2
bevy_library,0.0.1
bevy_life,0.11.0
bevy_light_2d,0.5.0
bevy_light_field,0.8.0
bevy_lighting,0.0.1
bevy_lightspeed2d,0.1.0
bevy_lightspeed3d,0.1.0
bevy_lightspeed4d,0.1.0
bevy_lightyear,0.1.0
dangerous_option,0.2.0
dangit,0.1.0
dango,0.1.1
dango-core,0.1.1
dango-music-player,0.0.0
dango-tui,0.0.0
daniel_crate,0.1.1
danielfns,0.1.0
danielq_art,0.0.0
daniels_basic_math,0.1.1
dankboi,0.1.2
danmu2ass,0.2.1
danmuji,0.1.0
dano,0.9.1
dantalian,0.4.6
dante-cli,0.8.3
dante-control-rs,0.8.2
danu,0.0.0
danube-client,0.3.4
danube-core,0.3.4
deallocate-zeroed,0.2.0
deam,0.0.0
dean_minigrep,0.1.1
deanonro,0.1.0
dear,0.1.1
dearbitrary,1.0.4
dearbitrary_derive,1.0.1
deary,0.0.1
deasync,0.1.0
death,0.1.0
death_god_logging_tool,4.1.3
deathframe,0.5.1
deathrip,0.2.1
deb,0.5.18
deb-architectures,0.1.0
deb-control,0.0.0
deb-libsolv-resolver,0.0.0
deb-rs,0.1.2
deb-rust,0.1.2
deb-version,0.1.1
rust_caching,0.0.0
rust_calendar_parser,0.1.1
rust_cards,0.1.2
rust_cargo_test,0.1.1
rust_cascade,1.5.0
rust_cast,0.19.0
rust_cfg_parser,0.1.0
rust_chacha20,0.3.0
rust_ci,0.1.0
rust_class,0.1.0
rust_clear,0.1.0
rust_cli,0.1.0
rust_client,0.2.3
rust_closure,0.1.0
rust_clue_solver_2,0.1.2
rust_cn,0.1.6
rust_code_organization,0.0.0
