name,version
pkg_impl,2.0.0
pkg_manager,0.1.1
pkgar,0.1.15
pkgar-core,0.1.15
pkgar-keys,0.1.15
pkgar-repo,0.1.15
pkgbob,0.0.6
pkgbuild,0.0.0
plot_interface,0.1.3
plotapi,0.1.1
plotcap,0.1.3
plotchart,0.2.12
ploteria,0.1.0
plotfx,0.1.0
plotka,0.0.0
plotlars,0.8.1
plotlib,0.5.1
plotly,0.12.1
plotly-fork,0.8.4
plotly_derive,0.12.1
plotly_kaleido,0.12.1
plotly_orca,0.0.0
plotpoint,0.1.8
plotpy,1.13.0
plotrs,0.1.3
plotsweep,0.1.0
oldwin-vc-ltl5,0.1.1
oldwin-yy-thunks,0.1.1
ole,0.1.15
ole32-sys,0.2.0
oleaut32-sys,0.2.0
oled,0.0.0
oled_shmoled,0.2.1
olekit,1.0.2
olha,0.0.0
oli,0.41.17
oli-tui,0.1.0
olibs724-service,0.0.0
oliframe,0.3.0
olimex-stm32-p107,0.1.0
olin,0.3.0
olinker,0.1.0
olio,1.4.0
olis_string,0.1.3
olivarius-art,0.0.0
self-rust-tokenize,0.4.0
self-rust-tokenize-derive,0.4.1
self-signed-cert,1.0.3
self_cell,1.1.0
self_encryption,0.31.0
self_sdk,0.1.0
self_service,0.0.0
self_update,0.42.0
self_update_danger_no_ssl_verify,0.38.0
selfe-arc,0.1.1
selfe-config,0.2.1
selfe-runtime,0.1.1
selfe-start,0.1.0
selfe-sys,0.1.1
selfie,0.0.3
selfish,0.1.0
selfref,0.4.3
selfserv-daemon,0.2.0
selfsimilar,0.1.0
selfstack,0.3.0
ucd-data,0.1.0
ucd-generate,0.3.1
ucd-parse,0.1.13
ucd-raw,0.5.0
ucd-trie,0.1.7
ucd-util,0.2.2
ucelofka,0.3.0
ucf,0.1.5
ucfirst,0.3.0
ucg,0.7.2
uchan,0.1.4
uchardet,2.0.4
uchardet-sys,2.0.3
uchimizu,0.0.1
uchr,0.0.2
uchrono,0.1.1
uchu,0.1.0
uci,0.2.3
uci-parser,1.1.0
uci_rs,0.1.2
eodhd_rs,0.2.0
eodhistoricaldata_api,0.4.0
eoe,0.2.0
eoflint,0.2.0
eol,0.1.1
eolib,2.1.1
eom,0.11.0
eon,0.0.0
eon-rs,1.0.0
eonil_apple_oslog,0.1.2
eons,0.1.0
eopl,0.0.0
eopsin,0.0.0
eorst,0.2.0
eos,0.0.0
eos-eapi,0.2.0
eos-s3,0.1.0
eos-tz,0.0.0
eos-tzdata,0.0.0
veruna-data,0.0.0
veruna-kernel,0.0.0
verus,0.0.0
verusfmt,0.5.3
verust,0.2.4
verver,0.0.1
vervolg,0.1.0
very-bad-error-propagation,0.1.1
very-trash-cli,0.1.0
very_basic_crate,0.2.0
very_primitive_tables,0.1.3
very_simple_2d,1.0.0
very_simple_2d_core,0.6.0
very_simple_trie,0.1.3
veryfast,0.3.1
veryfi,1.0.0
migrations_internals,2.2.0
migrations_macros,2.2.0
migrator,0.1.0
migratour,0.1.1
migres,0.0.1
mih-rs,0.3.1
miho,7.0.0
miho_derive,5.2.0
mii,0.1.1
miio-proto,0.1.5
mijia,0.7.1
mijia-homie,0.2.7
mijit,0.2.4
mik32-rt,0.1.0
mik32-rt-macros,0.5.0
mik32v2-pac,0.0.1
mika,0.0.0
mikado,0.1.0
mikan-rs,0.1.4
mikasa-utils,0.1.0
iap-jwt,0.2.0
iapi,0.1.0
iapiab,0.1.0
iapp_doc_test,0.0.0
iaq-core,0.1.0
iarapi-rs,0.1.1
iargs,0.1.0
iars,0.1.0
ias,0.2.1
iasc,0.1.0
iascar,0.2.1
iastconvert,0.1.2
iasthk,1.0.1
iat,0.1.2
iata-types,0.1.4
iata_bcbp,1.0.0
iay,0.4.3
ib,3.0.0
bevy_koto,0.2.0
bevy_kwai_interactive_live,0.1.2
bevy_la_mesa,0.15.4
bevy_landmass,0.8.0
bevy_lazy_prefabs,0.2.1
bevy_ldtk,0.5.0
bevy_ldtk_asset,0.6.4
bevy_leat,0.0.0
bevy_level,0.0.1
bevy_libgdx_atlas,0.3.2
bevy_library,0.0.1
bevy_life,0.11.0
bevy_light_2d,0.5.0
bevy_light_field,0.8.0
bevy_lighting,0.0.1
bevy_lightspeed2d,0.1.0
bevy_lightspeed3d,0.1.0
bevy_lightspeed4d,0.1.0
bevy_lightyear,0.1.0
dangerous_option,0.2.0
dangit,0.1.0
dango,0.1.1
dango-core,0.1.1
dango-music-player,0.0.0
dango-tui,0.0.0
daniel_crate,0.1.1
danielfns,0.1.0
danielq_art,0.0.0
daniels_basic_math,0.1.1
dankboi,0.1.2
danmu2ass,0.2.1
danmuji,0.1.0
dano,0.9.1
dantalian,0.4.6
dante-cli,0.8.3
dante-control-rs,0.8.2
danu,0.0.0
danube-client,0.3.4
danube-core,0.3.4
deallocate-zeroed,0.2.0
deam,0.0.0
dean_minigrep,0.1.1
deanonro,0.1.0
dear,0.1.1
dearbitrary,1.0.4
dearbitrary_derive,1.0.1
deary,0.0.1
deasync,0.1.0
death,0.1.0
death_god_logging_tool,4.1.3
deathframe,0.5.1
deathrip,0.2.1
deb,0.5.18
deb-architectures,0.1.0
deb-control,0.0.0
deb-libsolv-resolver,0.0.0
deb-rs,0.1.2
deb-rust,0.1.2
deb-version,0.1.1
rust_caching,0.0.0
rust_calendar_parser,0.1.1
rust_cards,0.1.2
rust_cargo_test,0.1.1
rust_cascade,1.5.0
rust_cast,0.19.0
rust_cfg_parser,0.1.0
rust_chacha20,0.3.0
rust_ci,0.1.0
rust_class,0.1.0
rust_clear,0.1.0
rust_cli,0.1.0
rust_client,0.2.3
rust_closure,0.1.0
rust_clue_solver_2,0.1.2
rust_cn,0.1.6
rust_code_organization,0.0.0
rust_code_visualizer,0.1.2
rust_coinlive,0.1.0
rust_combinatorics,0.1.0
nenya-sentinel,0.0.1
neo,0.3.3
neo-babylon,0.2.0
neo-crypto,0.1.3
neo-email,0.1.1
neo-mime,0.1.1
neo-mime-macro,0.1.1
neo-mime-parse,0.1.0
neo-sync,0.0.8
neo-web3,0.1.0
neo3,0.1.9
neo4j,0.2.0
neo4j-cli,0.1.0
neo4j_cypher,0.2.2
neo4j_testcontainers,0.3.0
neo4rs-macros,0.3.0
neo_trinkey,0.2.1
neobirth,0.1.1
solana-sys-tuner,1.14.29
solana-system-client,0.0.1
solana-system-instruction,0.0.1
solana-system-interface,1.0.0
solana-system-program,2.2.3
solana-system-transaction,2.2.1
solana-sysvar,2.2.1
solana-sysvar-id,2.2.1
solana-test,0.1.0
solana-test-client,0.1.0
solana-test-utils,0.1.19
solana-test-validator,2.2.3
solana-thin-client,2.2.3
solana-time-utils,2.2.1
solana-timings,2.2.3
solana-tls-utils,2.2.3
solana-token-api,0.19.1
solana-token-program,0.0.0
solana-tokens,2.2.3
solana-tps-client,2.2.3
moonramp-core,0.1.22
moonramp-encryption,0.1.22
moonramp-entity,0.1.22
moonramp-gateway,0.1.22
moonramp-http,0.1.22
moonramp-lunar,0.1.22
moonramp-lunar-core,0.1.22
moonramp-lunar-macro,0.1.22
moonramp-migration,0.1.22
moonramp-program,0.1.22
moonramp-program-rpc,0.1.22
moonramp-registry,0.1.22
moonramp-rpc,0.1.22
moonramp-sale,0.1.22
moonramp-sale-rpc,0.1.22
moonramp-wallet,0.1.22
moonramp-wallet-rpc,0.1.22
moonsdk,1.0.1
moonshine,0.0.0
crudcrate,0.2.4
crudcrate-derive,0.1.4
crude,0.0.1
crude-profiler,0.1.7
crude_cache,0.1.1
crudite,0.1.0
crudkit,0.0.0
crudx,1.1.0
cruet,0.15.0
crufst,0.1.0
cruiser,0.2.0
cruiser_derive,0.2.0
crulz,0.0.7
crum,0.3.0
crumb,0.2.1
crumble,0.10.2
crumble_ci,0.1.0
crumbles,0.3.0
crumsort,0.1.0
crunch,0.5.3
nu_plugin_ws,0.3.0
nu_plugin_x509,0.1.1
nu_plugin_xpath,0.44.0
nuage,0.1.0
nuance,0.3.2
nub,0.0.0
nuban,1.1.0
nuban_rust,0.1.1
nube,0.0.1
nubls,0.1.0
nuc1xx,0.1.2
nucgen,0.1.2
nuclear,0.0.10
nuclear-router,0.1.0
nuclei,0.4.4
nuclei-attributes,0.1.0
nucleic,0.0.1
nucleic-acid,0.1.1
nucleic-acids,0.1.0
nucleide,0.1.0
disarray-core,0.1.20
disarray-derive,0.1.13
disarray-ledger,0.1.20
disarray-macros,0.1.13
disarray-network,0.1.20
disarray-runtime,0.1.20
disas,0.1.3
disasm,0.5.1
disasm-core,0.5.1
disasm-e2k,0.5.2
disasm-gen,0.5.1
disasm-riscv,0.5.1
disasm-test,0.5.1
disasm-x86,0.5.1
disasm6502,0.2.2
disasm_x64,0.1.1
disassemble,0.0.1
disc,0.1.0
disc-bot,0.1.0
disc-derive,0.1.0
arduino_mkrzero,0.12.2
arduino_nano33iot,0.7.2
arduino_nano_connect,0.7.0
arduinors,0.1.1
are,0.0.2
are_we_touching,0.2.8
area-db,0.0.0
area_crate,0.1.1
area_func,0.1.1
area_function,0.1.0
areaportal2d,0.1.1
arecibo,0.1.1
aredis,0.0.4
areion,0.1.0
arel,0.3.8
arel-macros,0.3.8
arel_macro,0.0.9
arelith_combat_simulator,1.5.1
aren_alloc,0.3.0
arena-alloc,0.1.2
air-execution-info-collector,0.7.14
air-interpreter-cid,0.9.0
air-interpreter-data,0.17.2
air-interpreter-interface,0.19.0
air-interpreter-sede,0.1.0
air-interpreter-signatures,0.1.7
air-interpreter-value,0.1.0
air-interpreter-wasm,0.64.1
air-interpreter-wasm_branch_release,0.0.0
air-interpreter-wasm_ci_fix_version_increment,0.0.1
air-interpreter-wasm_crate_release,0.0.18
air-interpreter-wasm_fix,0.0.0
air-interpreter-wasm_fold_iterable,0.0.9
air-interpreter-wasm_get_rid_current_peer_id,0.0.4
air-interpreter-wasm_jvalue_flatten,0.0.5
air-interpreter-wasm_logger-i32,0.0.5
air-interpreter-wasm_new_it_types,0.0.3
air-interpreter-wasm_new_stepper_outcome,0.0.13
air-interpreter-wasm_prerelease,0.0.1
air-interpreter-wasm_security_tetraplets_reborn,0.0.18
aws-sdk-arczonalshift,1.63.0
aws-sdk-artifact,1.52.0
aws-sdk-athena,1.66.0
aws-sdk-auditmanager,1.63.0
aws-sdk-autoscaling,1.70.0
aws-sdk-autoscalingplans,1.62.0
aws-sdk-b2bi,1.67.0
aws-sdk-backup,1.66.0
aws-sdk-backupgateway,1.62.0
aws-sdk-backupsearch,1.11.0
aws-sdk-backupstorage,1.30.0
aws-sdk-batch,1.72.0
aws-sdk-bcmdataexports,1.60.0
aws-sdk-bcmpricingcalculator,1.15.0
aws-sdk-bedrock,1.79.0
aws-sdk-bedrockagent,1.86.0
aws-sdk-bedrockagentruntime,1.85.0
aws-sdk-bedrockdataautomation,1.13.0
aws-sdk-bedrockdataautomationruntime,1.13.0
aws-sdk-bedrockruntime,1.77.0
mdbook-tabs,0.2.1
mdbook-tag,0.0.2
mdbook-tagger,0.2.0
mdbook-tailor,0.8.2
mdbook-tailwindcss,0.1.1
mdbook-templates,0.1.0
mdbook-tera,0.5.1
mdbook-tera-backend,0.0.1
mdbook-tex,0.0.0
mdbook-theme,0.1.6
mdbook-to-example,0.1.0
mdbook-to-github-wiki,0.1.2
mdbook-toc,0.14.2
mdbook-tocjs,0.1.4
mdbook-tools,0.1.1
mdbook-trace,0.1.1
mdbook-transcheck,0.2.8
mdbook-translation,0.1.1
theater,0.1.1
theatre,0.1.8
theattyr,0.1.10
thebakery,0.1.51
theban_db,0.7.0
theban_db_interface,0.2.0
theban_db_server,0.3.6
theban_interval_tree,0.7.1
theban_pass,0.2.0
thebook,0.3.0
theca,1.0.0
theclicker,0.2.1
thecocktaildb-rs,0.1.0
theforce,0.1.0
theframework,0.1.33
thefunland,0.1.0
thefunlib,0.1.0
thegarii,0.0.9
thegraph,0.0.0
thegraph-client-subgraphs,0.1.6
naoki_test_publish,0.2.4
naom,1.4.0
nap,0.0.5
napa,0.6.2
napali,0.1.1
napchart,0.3.1
naphtha,0.5.0
naphtha-proc-macro,0.5.0
napi-build,2.1.5
napi-build-ohos,1.0.4
napi-calm-down,2.16.13
napi-derive-backend-ohos,1.0.4
napi-derive-ohos,1.0.4
napi-h,2.16.1
napi-ohos,1.0.4
napi-package-template,0.1.0
napi-rs,0.0.0
drs-0x01,0.3.0
drsh4dow_testing_mini_crate_that_do_nothing,0.1.2
drt-chain-scenario-format,0.0.3
drt-chain-vm,0.0.3
drt-chain-vm-executor,0.0.2
drt-price-aggregator-sc,0.0.3
drt-sc,0.0.3
drt-sc-codec,0.0.3
drt-sc-codec-derive,0.0.3
drt-sc-derive,0.0.3
drt-sc-meta,0.0.3
drt-sc-meta-lib,0.0.3
drt-sc-modules,0.0.3
drt-sc-scenario,0.0.3
drt-sc-snippets,0.0.3
drt-sc-wasm-adapter,0.0.3
drt-sdk,0.0.3
drt-tools,0.2.28
drt-wrewa-swap-sc,0.0.3
drteeth,0.2.1
plain_path,0.1.0
plain_trie,7.2.4
plainjson,0.1.2
plaintalk,0.0.15
plaintext,0.27.1
plaixt,0.0.0
plaixt-core,0.0.0
plamo,0.3.0
plan,1.0.1
plan9,0.1.1
plan9_asm,0.4.3
plan9whack,0.1.0
planar,0.1.2
planc,0.0.0
planc-common,0.0.0
planc-frontend,0.0.0
planc-protocol,0.0.0
planck_ecs,1.2.1
planck_ecs_bundle,1.1.0
planck_game_features,0.1.0
flexer,0.0.0
flexflow,0.1.0
flexflow-core,0.1.1
flexflow-server,0.1.1
flexgen,0.4.5
flexgrid,0.1.1
flexi-parse,0.10.0
flexi_config,0.1.0
flexi_func,0.2.7
flexi_func_declarative,0.2.7
flexi_logger,0.29.8
flexi_logger_datadog,0.1.3
flexi_logger_rotate_writer,0.0.0
flexi_syslog,0.5.3
flexiber,0.1.3
flexiber_derive,0.1.3
flexible-hyper-server-tls,0.6.0
flexible-io,0.4.0
flexible-locks,0.1.0
flexible-locks_derive,0.1.0
geohash-rs,0.1.3
geohash-tools,0.1.3
geohash_gps,0.1.0
geohasher,0.1.4
geohashing,0.1.0
geohashrust,0.0.2
geoint,0.1.0
geoip,0.0.14
geoip-api,0.7.1
geoip-cli,0.1.0
geoip-http,0.3.0
geoip-rs,0.6.1
geoip-sys,0.0.14
geoip2,0.1.7
geoip2-city,0.1.0
geoip2-codegen,0.1.5
geoiplocation,0.3.0
geoipsed,0.1.3
geojson,0.24.2
emscripten-functions-sys,5.0.401
emscripten-sys,0.3.2
emscripten-val,0.1.7
emscripten-val-sys,0.1.7
emscripten_main_loop,0.1.1
emsdk,0.1.1
emsend,0.1.0
emseries,0.5.1
emstr,0.2.0
emu,0.1.3
emu-audio,0.1.2
emu-audio-types,0.1.0
emu-cli,0.4.3
emu-core-audio-driver,0.1.3
emu-runner,0.1.1
emu6502,0.1.1
emu6809,0.1.2
emu_core,0.1.1
emu_driver,0.1.0
emu_glsl,0.1.0
diatomic-waker,0.2.3
diazene,1.4.1
dib,0.1.0
dibi,0.1.2
dic,0.0.0
dic-server,0.0.0
dice,0.1.0
dice-bag,0.2.0
dice-command-parser,0.8.0
dice-me,0.1.1
dice-roll,0.1.1
dice-roller,0.1.3
dice_forge,0.3.0
dicebag,0.2.1
dicebear,0.1.3
dicecloud_sheet_printer,0.1.0
diced,0.1.2
diced-py,0.1.2
dicedb-rs,0.1.2
dicegen,0.1.0
agave-librapay-api,0.1.0
agave-loader-v4-program,0.1.0
agave-local-cluster,0.1.0
agave-logger,0.1.0
agave-lualoader,0.1.0
agave-measure,0.1.0
agave-memory-management,0.1.0
agave-merkle-tree,0.1.0
agave-metrics,0.1.0
agave-move-loader-api,0.1.0
agave-move-loader-program,0.1.0
agave-native-loader,0.1.0
agave-net-utils,0.1.0
agave-netutil,0.1.0
agave-nohash-hasher,0.1.0
agave-noop,0.1.0
agave-noop-program,0.1.0
agave-notifier,0.1.0
agave-ownable,0.1.0
agave-perf,0.1.0
solana-idl-converter,0.2.0
solana-include-idl,0.1.0
solana-include-idl-cli,0.1.0
solana-indexer,0.7.4
solana-inflation,2.2.1
solana-inline-spl,2.2.3
solana-install,1.18.26
solana-instruction,2.2.1
solana-instructions-sysvar,2.2.1
solana-invoke,0.2.0
solana-jonc-program-counter,0.0.0
solana-jonc-program-counter-cli,0.0.0
solana-jonc-program-counter-client,0.0.0
solana-json,0.1.2
solana-jsonrpc-core,0.0.0
solana-jsonrpc-http-server,0.0.0
solana-jsonrpc-macros,0.0.0
solana-jsonrpc-pubsub,0.0.0
solana-jsonrpc-server-utils,0.0.0
solana-jsonrpc-tcp-server,0.0.0
rarathon,0.0.1
rarbg_api,1.0.42
rarc,0.1.0
rare,0.1.0
rarena,0.4.0
rarena-allocator,0.6.0
rarg,0.1.0
rargs,0.3.0
rargsxd,0.2.6
rarity,0.3.0
rarrow,0.0.1
rart-macros,0.0.6
rart-rs,0.0.8
ras,0.1.0
ras_auth,0.1.0
ras_service,0.2.0
rasc,0.1.0
rascal,0.1.2
rascal-scheme,0.1.0
rascal_bytecode,0.1.2
irmaseal-curve,0.1.5
irmatch,0.2.0
irmin,0.3.3
iro,0.0.1
iro-cli,0.2.1
iroga,0.2.2
iroh,0.34.0
iroh-api,0.2.0
iroh-base,0.34.0
iroh-bitswap,0.2.0
iroh-blake3,1.4.5
iroh-blobs,0.34.0
iroh-bytes,0.15.0
iroh-car,0.5.1
iroh-cli,0.28.1
iroh-dns-server,0.34.0
iroh-docs,0.34.0
iroh-doctor,0.33.0
iroh-embed,0.2.0
betting,0.3.1
betty,0.1.1
between,0.1.0
between-us,1.0.0
beul,1.0.0
bevier,1.1.1
bevior_tree,0.7.0
bevis,0.1.1
bevis-derive,0.1.0
bevis-strobe,0.1.1
bevm,0.1.1
bevnet,0.1.0
bevoids,0.1.0
bevsn,0.1.0
bevy-aabb-instancing,0.11.0
bevy-aabb-instancing-011,0.9.2
bevy-add-events-macro,0.1.0
bevy-alt-ui-navigation-lite,0.3.1
bevy-animated-text,0.1.0
dalek-ff-group-mirror,0.4.1
dalek-rangeproofs,0.0.0
daleks,0.6.0
daleth_lsp,0.1.1
dalfs,0.1.0
dali,0.3.0
dalia,1.2.0
dalloriam-cloud-client,0.3.1
dalloriam-cloud-protocol,0.3.1
dalvik,0.2.0
dam,0.1.3
damascus,0.0.9
damaya,0.1.0
dameng-helper,0.2.4
damians_custom_datetime_parser,0.2.5
daml,0.2.2
indexmap-nostd,0.4.0
indexmap-rmw,1.6.3
indexmenow,0.1.4
indexnow,0.0.0
indexor,0.5.0
indexrs,0.5.0
indexset,0.11.2
indexsort,0.2.0
indextree,4.7.3
indextree-macros,0.1.2
indextree-ng,1.0.5
indextreemap,0.1.25
indexvec,0.5.4
indi,5.0.1
indi-client,0.0.1
indi-rs,0.1.0
india,0.0.0
indicate,0.2.1
indicatif,0.17.11
indicatif-log-bridge,0.2.3
waynest-gen,0.0.25
waynest-macros,0.0.25
waynetest,0.1.0
waynova,0.0.1
wayout,1.1.3
wayplover,0.1.2
waypwr,0.1.1
wayrs-client,1.3.0
wayrs-core,1.0.4
wayrs-cursor,0.0.0
wayrs-egl,0.5.0
wayrs-proto-parser,3.0.1
